shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
600275,21.41211,-157.79946,240010
600275,21.412431,-157.799609,240011
600275,21.412431,-157.799609,250001
600275,21.4128,-157.79978,250002
600275,21.41346,-157.80008,250003
600275,21.414643,-157.800553,250004
600275,21.414643,-157.800553,260001
600275,21.41496,-157.80068,260002
600275,21.41653,-157.80133,260003
600275,21.41663,-157.80137,260004
600275,21.41761,-157.80174,260005
600275,21.418,-157.80191,260006
600275,21.4182,-157.80201,260007
600275,21.4177,-157.80285,260008
600275,21.41843,-157.8033,260009
600275,21.41858,-157.80339,260010
600275,21.419127,-157.803726,260011
600275,21.419127,-157.803726,270001
600275,21.4192,-157.80377,270002
600275,21.41934,-157.80385,270003
600275,21.41958,-157.804,270004
600275,21.41981,-157.80349,270005
600275,21.42001,-157.80303,270006
600275,21.42026,-157.803173,270007
600275,21.42026,-157.803173,280001
600275,21.42071,-157.80343,280002
600275,21.4212,-157.80371,280003
600275,21.42135,-157.8038,280004
600275,21.42153,-157.80391,280005
600275,21.4221,-157.80427,280006
600275,21.4226,-157.80457,280007
600275,21.4234,-157.80504,280008
600275,21.42385,-157.80531,280009
600275,21.42388,-157.80533,280010
600275,21.42514,-157.80612,280011
600275,21.42529,-157.80622,280012
600275,21.42614,-157.80676,280013
600275,21.42636,-157.8069,280014
600275,21.42646,-157.80697,280015
600275,21.42659,-157.80704,280016
600275,21.426674,-157.807074,280017
600275,21.426674,-157.807074,290001
600275,21.42703,-157.80722,290002
600275,21.42748,-157.8074,290003
600275,21.42791,-157.80758,290004
600275,21.428375,-157.80777,290005
600275,21.428375,-157.80777,300001
600275,21.4284,-157.80778,300002
600275,21.4285,-157.80782,300003
600275,21.42876,-157.80791,300004
600275,21.42911,-157.80799,300005
600275,21.42941,-157.80803,300006
600275,21.42985,-157.80806,300007
600275,21.43009,-157.80811,300008
600275,21.43018,-157.80814,300009
600275,21.43018,-157.80814,310001
600275,21.43039,-157.80821,310002
600275,21.43111,-157.80848,310003
600275,21.43137,-157.80859,310004
600275,21.43157,-157.80872,310005
600275,21.43182,-157.80887,310006
600275,21.43192,-157.80894,310007
600275,21.43208,-157.80906,310008
600275,21.43233,-157.80922,310009
600275,21.43243,-157.80929,310010
600275,21.43259,-157.80939,310011
600275,21.43273,-157.80947,310012
600275,21.43305,-157.80963,310013
600275,21.43308,-157.809646,310014
600275,21.43308,-157.809646,320001
600275,21.43335,-157.80979,320002
600275,21.43406,-157.81017,320003
600275,21.43449,-157.81043,320004
600275,21.43495,-157.81074,320005
600275,21.43509,-157.81084,320006
600275,21.43535,-157.81095,320007
600275,21.43554,-157.81102,320008
600275,21.43686,-157.81148,320009
600275,21.43736,-157.81168,320010
600275,21.43776,-157.81184,320011
600275,21.43798,-157.8119,320012
600275,21.43811,-157.81191,320013
600275,21.43815,-157.81191,320014
600275,21.4382,-157.8119,320015
600275,21.43832,-157.81183,320016
600275,21.43837,-157.81179,320017
600275,21.43842,-157.81174,320018
600275,21.43861,-157.81153,320019
600275,21.43879,-157.8113,320020
600275,21.43889,-157.81119,320021
600275,21.439,-157.81109,320022
600275,21.43911,-157.811,320023
600275,21.43921,-157.81094,320024
600275,21.43936,-157.81089,320025
600275,21.4395,-157.81084,320026
600275,21.43991,-157.81076,320027
600275,21.44005,-157.81071,320028
600275,21.44019,-157.81063,320029
600275,21.44033,-157.8105,320030
600275,21.44057,-157.81022,320031
600275,21.44063,-157.81016,320032
