route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_headsign_short,apc_trip_id,display_code,trip_serial_number,block
13,27692,5348089,ST LOUIS HTS VIA KAPAHULU,0,309698,140070,ST LOUIS KAPAHUL,41324,1411,30066818,14-113
189,27692,5348090,AHUA LAGOON DRIVE SKYLINE STATION,0,310731,A0314,LAGOON DR STN,42893,A012,30063469,A-233
25,27692,5348093,FOSTER VILLAGE - PEARLRIDGE,0,309895,320116,FOSTER VILLAGE,41451,3202,30064174,32-119
189,27692,5348094,AHUA LAGOON DRIVE SKYLINE STATION,0,310729,A0314,LAGOON DR STN,42815,A012,30063471,A-231
189,27692,5348096,AHUA LAGOON DRIVE SKYLINE STATION,0,310730,A0314,LAGOON DR STN,42853,A012,30063489,A-232
13,27692,5348097,ST LOUIS HTS VIA KAPAHULU,0,309698,140070,ST LOUIS KAPAHUL,41340,1411,30066826,14-113
25,27692,5348101,FOSTER VILLAGE - PEARLRIDGE,0,309895,320116,FOSTER VILLAGE,41454,3202,30064175,32-119
189,27692,5348102,AHUA LAGOON DRIVE SKYLINE STATION,0,310732,A0314,LAGOON DR STN,42932,A012,30063477,A-234
189,27692,5348104,AHUA LAGOON DRIVE SKYLINE STATION,0,310732,A0314,LAGOON DR STN,42944,A012,30063490,A-234
26,27692,5348109,MAKAHA TOWERS,0,309934,401433,MAKAHA TOWERS,46081,4092,30062585,40-508
8,27692,5348111,WAIKIKI BEACH & HOTELS,0,310507,80132,WAIKIKI BEACH,41060,803,30067223,8-096
13,27692,5348113,ST LOUIS HTS VIA KAPAHULU,0,309698,140114,ST LOUIS KAPAHUL,41323,1411,30066853,14-113
189,27692,5348114,AHUA LAGOON DRIVE SKYLINE STATION,0,310732,A0314,LAGOON DR STN,42920,A012,30063533,A-234
189,27692,5348120,AHUA LAGOON DRIVE SKYLINE STATION,0,310731,A0314,LAGOON DR STN,42889,A012,30063495,A-233
13,27692,5348121,ST LOUIS HTS VIA KAPAHULU,0,309698,140114,ST LOUIS KAPAHUL,41343,1411,30066863,14-113
189,27692,5348123,AHUA LAGOON DRIVE SKYLINE STATION,0,310731,A0314,LAGOON DR STN,42901,A012,30063463,A-233
26,27692,5348125,MAKAHA TOWERS,0,309941,401429,MAKAHA TOWERS,46147,4092,30062601,40-515
